1,id,strarr,N/A,ID
2,raw_g_num,intarr,count,Number of Grounds Water Sources
3,raw_g_aflow,fltarr,MGD,Average Ground Water Flow
4,raw_g_dflow,fltarr,MGD,Design Ground Water Flow
5,raw_g_mflow,fltarr,MGD,Maximum Ground Water Flow
6,raw_s_num,intarr,count,Number of Surfaces Water Sources
7,raw_s_aflow,fltarr,MGD,Average Surface Water Flow
8,raw_s_dflow,fltarr,MGD,Design Surface Water Flow
9,raw_s_mflow,fltarr,MGD,Maximum Surface Water Flow
10,raw_p_num,intarr,count,Number of Purchased Sources
11,raw_p_aflow,fltarr,MGD,Average Purchased Water Flow
12,raw_g_depth,fltarr,FT,Average Well Depth
13,raw_hp,fltarr,HP,Source Water Pumping HP
14,raw_npump,intarr,count,Total Number of Pumps
15,raw_g_antu,fltarr,NTU,Average Ground Turbidity
16,raw_g_pntu,fltarr,NTU,Peak Ground Turbidity
17,raw_s_antu,fltarr,NTU,Average Surface Turbidity
18,raw_s_pntu,fltarr,NTU,Peak Surface Turbidity
19,treat_algae,intarr,N/A,Algae Control
20,treat_disinf,intarr,N/A,Disinfection
21,treat_ox,intarr,N/A,Oxidation
22,treat_iron,intarr,N/A,Iron Removal
23,treat_mang,intarr,N/A,Manganese Removal
24,treat_odor,intarr,N/A,Taste/Odor Control
25,treat_TOC,intarr,N/A,TOC Removal
26,treat_turb,intarr,N/A,Particulate/Turbidity Removal
27,treat_soft,intarr,N/A,Softening
28,treat_recarb,intarr,N/A,Recarbonation
29,treat_organic,intarr,N/A,Organic
30,treat_inorganic,intarr,N/A,Inorganic
31,treat_radon,intarr,N/A,Radionuclide
32,process_aerate,intarr,N/A,Aeration
33,process_UV,intarr,N/A,Ultraviolet
34,process_OZ,intarr,N/A,Ozone
35,process_clar_up,intarr,N/A,Upflow Clarification
36,process_clar_gravity,intarr,N/A,Gravity Clarification
37,process_clar_daf,intarr,N/A,Dissolved Air Floatation Clarification
38,process_floc,intarr,N/A,Flocculation
39,process_filtr_direct,intarr,N/A,Direct Filtration
40,process_filtr_sand,intarr,N/A,Slow Sand Filtration
41,process_filtr_dual,intarr,N/A,Dual Stage Filtration
42,process_filtr_rapid,intarr,N/A,Rapid Rate Filtration
43,process_filtr_dearth,intarr,N/A,Diatomaceous earth Filtration
44,process_filtr_press,intarr,N/A,Pressure Filtration
45,process_mem_rosmos,intarr,N/A,Reverse Osmosis Membrane
46,process_mem_micfiltr,intarr,N/A,Microfiltration Membrane
47,process_mem_ultfiltr,intarr,N/A,Ultrafiltration Membrane
48,process_mem_nanofiltr,intarr,N/A,Nanofiltration Membrane
49,utility_nplants,intarr,N/A,Number of Treatment Plants
50,res_none,intarr,N/A,No Treatment
51,res_gravity,intarr,N/A,Gravity Thickening
52,res_dewat_mech,intarr,N/A,Mechanical Dewatering
53,res_cent,intarr,N/A,Centrifuge
54,res_press_filtr,intarr,N/A,Residual Pressure Filtration
55,res_vac_filtr,intarr,N/A,Vacuum Filtration
56,res_bpress,intarr,N/A,Belt Press
57,res_ppress,intarr,N/A,Plate & Frame Press
58,res_dewat_nmech,intarr,N/A,Non-Mechanical Dewatering
59,res_lagoon,intarr,N/A,Lagoon dewatering thickening
60,res_sand,intarr,N/A,Sand Drying Bed
