ID,Number of Grounds Water Sources,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Number of Surfaces Water Sources,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Number of Purchased Sources,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Total Number of Pumps,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Algae Control,Disinfection,Oxidation,Iron Removal,Manganese Removal,Taste/Odor Control,TOC Removal,Particulate/Turbidity Removal,Softening,Recarbonation,Organic,Inorganic,Radionuclide,Aeration,Ultraviolet,Ozone,Upflow Clarification,Gravity Clarification,Dissolved Air Floatation Clarification,Flocculation,Direct Filtration,Slow Sand Filtration,Dual Stage Filtration,Rapid Rate Filtration,Diatomaceous earth Filtration,Pressure Filtration,Reverse Osmosis Membrane,Microfiltration Membrane,Ultrafiltration Membrane,Nanofiltration Membrane,Number of Treatment Plants,No Treatment,Gravity Thickening,Mechanical Dewatering,Centrifuge,Residual Pressure Filtration,Vacuum Filtration,Belt Press,Plate & Frame Press,Non-Mechanical Dewatering,Lagoon dewatering thickening,Sand Drying Bed,Freezing and Thawing,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Number of Distribution Pumps,Total Storage Volume,Average Distribution Pressure,Number of Distribution Zones,Unaccounted for Treated Water,Production Energy Use,Production Energy Peak,Poduction Cost,Treatment Energy Use,Treatment Energy Peak,Treatment Energy Cost,Distribution Energy Use,Distribution Energy Peak,Distribution Energy Cost,Total Energy Use,Total Energy Peak,Total Energy Cost,Total Building Area,Natural Gas Use,Natural Gas Cost,Engine Driven Pumps,Engine Driven Pump HP,Engine Driven Pump Fuel Type,Purchased Energy,Purchased Energy Source,Amount of Purchased Energy,Purcahsed Energy Cost,Regularly Checked Utility Bills,Extraordinary Events,Additional Comments,Total Average Flow,Average raw turbidity,Peak raw turbidity,Treatment for metals (iron mang),Treatment for contaminates (organic inorganic radon),Difference between highest and lowest system elevation,Total system hp
id,raw_g_num,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_num,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_num,raw_p_aflow,raw_g_depth,raw_hp,raw_npump,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,treat_algae,treat_disinf,treat_ox,treat_iron,treat_mang,treat_odor,treat_TOC,treat_turb,treat_soft,treat_recarb,treat_organic,treat_inorganic,treat_radon,process_aerate,process_UV,process_OZ,process_clar_up,process_clar_gravity,process_clar_daf,process_floc,process_filtr_direct,process_filtr_sand,process_filtr_dual,process_filtr_rapid,process_filtr_dearth,process_filtr_press,process_mem_rosmos,process_mem_micfiltr,process_mem_ultfiltr,process_mem_nanofiltr,utility_nplants,res_none,res_gravity,res_dewat_mech,res_cent,res_press_filtr,res_vac_filtr,res_bpress,res_ppress,res_dewat_nmech,res_lagoon,res_sand,res_frz,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_npump,distrib_storage,distrib_press,distrib_nzones,distrib_lost,raw_kwh,raw_kw,raw_cost,treat_kwh,treat_kw,treat_cost,distrib_kwh,distrib_kw,distrib_cost,utility_kwh,utility_kw,utility_cost,floor_area,ngas_use,ngas_cost,pump_eng,pump_eng_hp,pump_eng_fuel,oenergy_purch,oenergy_type,oenergy_amount,oenergy_cost,check_util,extra_event,notes,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_metals,calc_contam,calc_elev_change,calc_hp
AK001,0,1.6,3,10,0,1.9,3,12,0,0,130,950,8,0.02,0.15,0.5,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,150,165,0,0,209,11,10.3,70,4,12,0,0,0,0,0,0,0,0,0,2100000,0,168000,0,0,0,0,0,,0,,,0,0,0,,3.5,0.280571429,42.9,1,0,0,1159
AL001,0,0,0,0,1,1.92,2.57,3,0,0,0,75,1,0,0,9.63,48.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10000,6.6,101,580,440,320,3,2375,61,2,8.81,280640,56,18062,253920,54,15728,906054,161,57513,1440614,271,91303,8500,0,1423,0,0,,0,,,0,0,0,,1.92,9.63,64.4,0,0,140,395
AL002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,22.2,120,910,520,410,8,1.1,85,3,15,0,0,0,0,0,0,0,0,0,182880,0,20000,0,0,0,0,0,,0,,,0,1,0,,0,0,0,0,0,390,410
AL003,8,3.8,4,12.3,0,0,0,0,0,0,260,1430,8,1,2.6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10179,80,210,1200,934,675,7,14.85,100,5,21,2157200,773,154438,124650,66,5982,2450293,988,157773,4732143,0,318193,0,1483,1094,0,0,,0,,,0,1,1,Changed electric rates to time-of-use and began summer operation hours to take advantage of off-peak pricing,3.8,1,2.6,0,0,266,2105
AL004,0,0,0,0,1,5.37,7.77,13.5,0,0,0,1200,3,0,0,35,454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7.5,28000,27,216,750,625,100,2,7.45,60,2,15,1054200,994.2,192960,0,0,0,200600,81.26,15311,1254800,0,208271,17666,0,0,0,0,,0,,,0,1,0,,5.37,35,656.9,1,1,125,1300
AL005,3,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1010,512,312,255,13,1.87,95,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Diesel,0,,,0,1,0,,0.72,0,0,0,0,200,255
AL006,0,0,0,0,1,3,3.39,5.08,0,0,0,400,3,0,0,4.3,9.78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,350,35000,17,200,445,400,20,2,5.8,60,2,18,1489320,296.04,93470,810920,231.36,52177,13391,12.96,1239,2313631,540.36,146886,18414,0,0,0,0,,0,,,0,1,0,,3,4.3,11.1,0,0,45,420
AR001,6,3.17,5.82,6,0,0,0,0,0,0,500,600,6,7.23,7.46,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,40,221,539,425,12950,10,6.98,70,4,85,0,0,0,0,0,0,0,0,0,13458947,0,268973,0,0,0,0,0,,0,,,0,1,0,,3.17,7.23,7.5,1,0,114,13550
AR002,2,57.85,90.03,173,0,0,0,0,0,0,0,10550,6,0,0,2.2,5.5,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2000,360000,360,2200,950,490,8000,44,65.37,100,14,9,17080000,4110,716500,7820000,2100,439500,8776000,3700,517000,33676000,0,1673000,200000,0,68600,0,0,,0,,,0,1,1,Mild and Wet summer which cause minimal Electrical usage,57.85,0,0,0,0,460,18550
