ID,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Total Storage Volume,Average Distribution Pressure,Unaccounted for Treated Water,Total Building Area,Engine Driven Pump HP,Total Average Flow,Average raw turbidity,Peak raw turbidity,Difference between highest and lowest system elevation,Total system hp,Total Energy Use kBtu
id,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
AK001,2,3,10,2,3,12,0,130,950,0,0,1,50,0,"30,000",150,165,0,0,209,10,70,12,0,0,4,0,43,0,"1,159",0
AL001,0,0,0,2,3,3,0,0,75,0,0,10,48,0,"10,000",7,101,580,440,320,"2,375",61,9,"8,500",0,2,10,64,140,395,"15,990,815"
AL002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000",22,120,910,520,410,1,85,15,0,0,0,0,0,390,410,0
AL003,4,4,12,0,0,0,0,260,"1,430",1,3,0,0,0,"10,179",80,210,"1,200",934,675,15,100,21,0,0,4,1,3,266,"2,105","52,678,647"
AL004,0,0,0,5,8,14,0,0,"1,200",0,0,35,454,8,"28,000",27,216,750,625,100,7,60,15,"17,666",0,5,35,657,125,"1,300","13,928,280"
AL005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000","1,010",512,312,255,2,95,14,0,0,1,0,0,200,255,0
AL006,0,0,0,3,3,5,0,0,400,0,0,4,10,350,"35,000",17,200,445,400,20,6,60,18,"18,414",0,3,4,11,45,420,"25,681,304"
AR001,3,6,6,0,0,0,0,500,600,7,7,0,0,0,"25,000",40,221,539,425,"12,950",7,70,85,0,0,3,7,8,114,"13,550",0
AR002,58,90,173,0,0,0,0,0,"10,550",0,0,2,6,"2,000","360,000",360,"2,200",950,490,"8,000",65,100,9,"200,000",0,58,0,0,460,"18,550","373,803,600"
