raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
0,0,0,2,3,3,0,0,75,0.0,0.0,10.0,48,0,10000,7,101,580,440,320,2375,61,9,8500,0,2,10,64,140,395,15990815
4,4,12,0,0,0,0,260,1430,1.0,3.0,0.0,0,0,10179,80,210,1200,934,675,15,100,21,0,0,4,1,3,266,2105,52678647
0,0,0,5,8,14,0,0,1200,0.0,0.0,35.0,454,8,28000,27,216,750,625,100,7,60,15,17666,0,5,35,657,125,1300,13928280
0,0,0,3,3,5,0,0,400,0.0,0.0,4.0,10,350,35000,17,200,445,400,20,6,60,18,18414,0,3,4,11,45,420,25681304
58,90,173,0,0,0,0,0,10550,0.0,0.0,2.0,6,2000,360000,360,2200,950,490,8000,65,100,9,200000,0,58,0,0,460,18550,373803600
1,2,4,0,0,0,0,500,405,0.0,1.0,0.0,0,0,12050,100,275,500,240,300,4,70,12,10000,0,1,0,1,260,705,15169593
10,14,14,0,0,0,0,650,2115,0.0,0.0,0.0,0,0,40000,30,300,3300,2400,2703,7,55,0,1500,0,10,0,0,900,4818,120921002
1,3,3,0,0,0,0,700,300,0.0,0.0,0.0,0,0,5800,4,30,2400,2300,230,1,65,0,200,0,1,0,0,100,530,9734700
0,0,0,6,10,15,0,0,140,0.0,0.0,4.0,6,2000,40000,13,110,740,48,2285,10,0,7,0,0,6,4,11,692,2425,45219558
0,0,0,8,12,15,0,0,1200,0.0,0.0,18.0,100,0,24000,7,70,0,0,1000,9,80,0,5000,0,8,18,155,0,2200,47630100
4,4,4,0,0,0,3,100,285,0.0,0.0,0.0,0,0,32000,4,88,3000,1200,500,18,120,8,10000,0,6,0,0,1800,785,65490000
2,3,0,0,0,0,0,0,450,1.0,2.0,0.0,0,120,14000,1,12,0,0,95,2,58,0,0,0,2,1,2,0,545,2218224
3,4,0,0,0,0,4,1117,375,0.0,7.0,0.0,0,0,47087,8,92,160,90,0,8,75,2,48,785,6,0,7,70,375,3067376
1,2,2,2,5,6,0,127,120,0.0,0.0,1.0,40,60,16000,5,130,852,602,405,6,80,3,9000,0,4,0,50,250,525,37152466
7,14,23,0,0,0,0,300,1275,0.0,0.0,0.0,0,0,30626,7,150,0,0,1275,0,48,0,0,2263,7,0,0,0,2550,392602
3,4,6,0,0,0,0,1200,300,0.0,0.0,0.0,0,0,18500,5,48,260,60,225,2,58,9,1500,0,3,0,0,200,525,15834305
3,4,6,0,0,0,0,340,300,0.0,0.0,0.0,0,0,14500,44,180,580,100,2325,9,62,18,4500,0,3,0,0,480,2625,19655680
9,11,22,0,0,0,10,580,3050,0.0,2.0,0.0,0,0,100000,18,350,110,32,4100,28,74,4,0,2800,18,0,2,78,7150,103246458
3,4,4,0,0,0,4,585,350,0.0,0.0,0.0,0,0,36309,7,100,380,197,295,2,70,5,9500,0,7,0,0,183,645,29604089
29,58,0,0,0,0,23,1000,7700,0.0,0.0,0.0,0,0,316287,133,1078,1512,50,4800,135,60,5,0,0,51,0,0,1462,12500,441788086
0,0,0,6,12,12,0,0,0,0.0,0.0,5.0,61,274,26314,21,100,1200,840,220,17,50,10,0,0,6,5,122,360,220,6616778
0,0,0,25,50,63,3,0,3550,0.0,0.0,5.0,39,2110,67125,104,400,840,350,680,31,50,10,0,0,28,5,78,490,4230,29664994
